r_l	V(vin)	V(vo)	I(RL1)	I(VIN)
3.206269324505516e-03	9.500000e+00	4.810708e-03	1.500407e+00	-1.501467e+00
3.221068791283485e-03	9.500000e+00	4.832913e-03	1.500407e+00	-1.501467e+00
3.235936569296333e-03	9.500000e+00	4.855220e-03	1.500407e+00	-1.501467e+00
3.250872973854395e-03	9.500000e+00	4.877631e-03	1.500407e+00	-1.501467e+00
3.265878321723410e-03	9.500000e+00	4.900145e-03	1.500406e+00	-1.501467e+00
3.280952931131243e-03	9.500000e+00	4.922763e-03	1.500406e+00	-1.501467e+00
3.296097121774630e-03	9.500000e+00	4.945485e-03	1.500406e+00	-1.501467e+00
3.311311214825964e-03	9.500000e+00	4.968312e-03	1.500406e+00	-1.501467e+00
3.326595532940099e-03	9.500000e+00	4.991245e-03	1.500406e+00	-1.501467e+00
3.341950400261196e-03	9.500000e+00	5.014283e-03	1.500406e+00	-1.501467e+00
3.357376142429601e-03	9.500000e+00	5.037427e-03	1.500406e+00	-1.501466e+00
3.372873086588744e-03	9.500000e+00	5.060679e-03	1.500406e+00	-1.501466e+00
3.388441561392081e-03	9.500000e+00	5.084038e-03	1.500406e+00	-1.501466e+00
3.404081897010065e-03	9.500000e+00	5.107505e-03	1.500406e+00	-1.501466e+00
3.419794425137145e-03	9.500000e+00	5.131079e-03	1.500406e+00	-1.501466e+00
3.435579478998803e-03	9.500000e+00	5.154763e-03	1.500406e+00	-1.501466e+00
3.451437393358620e-03	9.500000e+00	5.178556e-03	1.500406e+00	-1.501466e+00
3.467368504525374e-03	9.500000e+00	5.202459e-03	1.500406e+00	-1.501466e+00
3.483373150360176e-03	9.500000e+00	5.226473e-03	1.500406e+00	-1.501466e+00
3.499451670283631e-03	9.500000e+00	5.250597e-03	1.500406e+00	-1.501466e+00
3.515604405283040e-03	9.500000e+00	5.274832e-03	1.500406e+00	-1.501466e+00
3.531831697919629e-03	9.500000e+00	5.299179e-03	1.500405e+00	-1.501466e+00
3.548133892335815e-03	9.500000e+00	5.323639e-03	1.500405e+00	-1.501466e+00
3.564511334262503e-03	9.500000e+00	5.348212e-03	1.500405e+00	-1.501466e+00
3.580964371026422e-03	9.500000e+00	5.372898e-03	1.500405e+00	-1.501466e+00
3.597493351557485e-03	9.500000e+00	5.397698e-03	1.500405e+00	-1.501466e+00
3.614098626396195e-03	9.500000e+00	5.422612e-03	1.500405e+00	-1.501466e+00
3.630780547701076e-03	9.500000e+00	5.447641e-03	1.500405e+00	-1.501466e+00
3.647539469256141e-03	9.500000e+00	5.472787e-03	1.500405e+00	-1.501465e+00
3.664375746478397e-03	9.500000e+00	5.498047e-03	1.500405e+00	-1.501465e+00
3.681289736425378e-03	9.500000e+00	5.523425e-03	1.500405e+00	-1.501465e+00
3.698281797802727e-03	9.500000e+00	5.548920e-03	1.500405e+00	-1.501465e+00
3.715352290971790e-03	9.500000e+00	5.574532e-03	1.500405e+00	-1.501465e+00
3.732501577957271e-03	9.500000e+00	5.600263e-03	1.500405e+00	-1.501465e+00
3.749730022454901e-03	9.500000e+00	5.626112e-03	1.500405e+00	-1.501465e+00
3.767037989839156e-03	9.500000e+00	5.652081e-03	1.500405e+00	-1.501465e+00
3.784425847171001e-03	9.500000e+00	5.678170e-03	1.500405e+00	-1.501465e+00
3.801893963205680e-03	9.500000e+00	5.704379e-03	1.500404e+00	-1.501465e+00
3.819442708400534e-03	9.500000e+00	5.730709e-03	1.500404e+00	-1.501465e+00
3.837072454922857e-03	9.500000e+00	5.757160e-03	1.500404e+00	-1.501465e+00
3.854783576657788e-03	9.500000e+00	5.783734e-03	1.500404e+00	-1.501465e+00
3.872576449216242e-03	9.500000e+00	5.810430e-03	1.500404e+00	-1.501465e+00
3.890451449942877e-03	9.500000e+00	5.837250e-03	1.500404e+00	-1.501465e+00
3.908408957924092e-03	9.500000e+00	5.864193e-03	1.500404e+00	-1.501465e+00
3.926449353996071e-03	9.500000e+00	5.891261e-03	1.500404e+00	-1.501465e+00
3.944573020752857e-03	9.500000e+00	5.918453e-03	1.500404e+00	-1.501464e+00
3.962780342554467e-03	9.500000e+00	5.945771e-03	1.500404e+00	-1.501464e+00
3.981071705535046e-03	9.500000e+00	5.973215e-03	1.500404e+00	-1.501464e+00
3.999447497611048e-03	9.500000e+00	6.000786e-03	1.500404e+00	-1.501464e+00
4.017908108489474e-03	9.500000e+00	6.028484e-03	1.500404e+00	-1.501464e+00
4.036453929676126e-03	9.500000e+00	6.056310e-03	1.500404e+00	-1.501464e+00
4.055085354483914e-03	9.500000e+00	6.084265e-03	1.500404e+00	-1.501464e+00
4.073802778041204e-03	9.500000e+00	6.112348e-03	1.500404e+00	-1.501464e+00
4.092606597300186e-03	9.500000e+00	6.140561e-03	1.500403e+00	-1.501464e+00
4.111497211045301e-03	9.500000e+00	6.168904e-03	1.500403e+00	-1.501464e+00
4.130475019901691e-03	9.500000e+00	6.197379e-03	1.500403e+00	-1.501464e+00
4.149540426343709e-03	9.500000e+00	6.225984e-03	1.500403e+00	-1.501464e+00
4.168693834703434e-03	9.500000e+00	6.254721e-03	1.500403e+00	-1.501464e+00
4.187935651179264e-03	9.500000e+00	6.283592e-03	1.500403e+00	-1.501464e+00
4.207266283844522e-03	9.500000e+00	6.312595e-03	1.500403e+00	-1.501464e+00
4.226686142656111e-03	9.500000e+00	6.341733e-03	1.500403e+00	-1.501464e+00
