time	V(vo)
4.169995217064673e-03	1.104997e+01
4.170010168031794e-03	1.105037e+01
4.170020744893148e-03	1.105066e+01
4.170025628079696e-03	1.105080e+01
4.170031669699341e-03	1.105096e+01
4.170038173767081e-03	1.105114e+01
4.170047003683165e-03	1.105138e+01
4.170056866194901e-03	1.105164e+01
4.170069221382478e-03	1.105198e+01
4.170084041624676e-03	1.105238e+01
4.170086281459017e-03	1.105244e+01
4.170090761127698e-03	1.105256e+01
4.170091881044868e-03	1.105259e+01
4.170094132141754e-03	1.105265e+01
4.170094154666845e-03	1.105266e+01
4.170094289817391e-03	1.105266e+01
4.170094312342483e-03	1.105266e+01
4.170094357392665e-03	1.105266e+01
4.170094418973217e-03	1.105266e+01
4.170094430796636e-03	1.105266e+01
4.170094433752491e-03	1.105266e+01
4.170094439664201e-03	1.105266e+01
4.170094449962842e-03	1.105266e+01
4.170094460701406e-03	1.105266e+01
4.170094482178534e-03	1.105266e+01
4.170094522480541e-03	1.105266e+01
4.170094603084554e-03	1.105267e+01
4.170094764292580e-03	1.105267e+01
4.170095086708632e-03	1.105268e+01
4.170095731540736e-03	1.105270e+01
4.170097021204946e-03	1.105273e+01
4.170099600533365e-03	1.105280e+01
4.170104759190203e-03	1.105294e+01
4.170110721091934e-03	1.105310e+01
4.170118571790877e-03	1.105332e+01
4.170129338079521e-03	1.105361e+01
4.170150870656808e-03	1.105419e+01
4.170170359911915e-03	1.105472e+01
4.170198707975983e-03	1.105548e+01
4.170228873494020e-03	1.105630e+01
4.170283741171883e-03	1.105778e+01
4.170357769965279e-03	1.105977e+01
4.170505827552070e-03	1.106373e+01
4.170801942725652e-03	1.107161e+01
4.171140490067538e-03	1.108052e+01
4.171576855135779e-03	1.109187e+01
4.172066140168776e-03	1.110440e+01
4.172748196026540e-03	1.112157e+01
4.173145539968303e-03	1.113143e+01
4.173220664159918e-03	1.113328e+01
4.173370912543147e-03	1.113694e+01
4.173570216532157e-03	1.114178e+01
4.173650995525233e-03	1.114373e+01
4.173667859868107e-03	1.114413e+01
4.173684724210982e-03	1.114454e+01
4.173701588553857e-03	1.114495e+01
4.173718452896731e-03	1.114535e+01
4.173735317239606e-03	1.114576e+01
4.173752181582481e-03	1.114616e+01
4.173769045925355e-03	1.114657e+01
4.173771313479169e-03	1.114662e+01
4.173771880367621e-03	1.114664e+01
4.173772022089735e-03	1.114664e+01
4.173772305533961e-03	1.114665e+01
4.173772872422414e-03	1.114666e+01
4.173772876057935e-03	1.114666e+01
4.173772883328978e-03	1.114666e+01
4.173772897871062e-03	1.114666e+01
4.173772926955232e-03	1.114666e+01
4.173772951719611e-03	1.114666e+01
4.173772978558563e-03	1.114666e+01
4.173773002414459e-03	1.114666e+01
4.173773032341102e-03	1.114666e+01
4.173773092194391e-03	1.114666e+01
4.173773164746214e-03	1.114667e+01
4.173773309849862e-03	1.114667e+01
4.173773498652892e-03	1.114667e+01
4.173773870702195e-03	1.114668e+01
4.173774328403606e-03	1.114669e+01
4.173775243806430e-03	1.114672e+01
4.173776375803812e-03	1.114674e+01
4.173778639798576e-03	1.114680e+01
4.173781529811463e-03	1.114687e+01
4.173786211041556e-03	1.114698e+01
4.173791121668053e-03	1.114710e+01
4.173798001837329e-03	1.114726e+01
4.173808496832036e-03	1.114751e+01
4.173825780144515e-03	1.114793e+01
4.173849435442169e-03	1.114849e+01
4.173861899831551e-03	1.114879e+01
4.173868139074188e-03	1.114894e+01
4.173871700163966e-03	1.114903e+01
4.173875138350440e-03	1.114911e+01
4.173878550568404e-03	1.114919e+01
4.173882060502276e-03	1.114927e+01
4.173889080370021e-03	1.114944e+01
4.173901441965073e-03	1.114974e+01
4.173921778386303e-03	1.115022e+01
4.173944197959010e-03	1.115076e+01
4.173968276898654e-03	1.115133e+01
4.173999219065068e-03	1.115207e+01
4.174044861570231e-03	1.115316e+01
4.174118588575691e-03	1.115490e+01
4.174254197787120e-03	1.115811e+01
4.174525416209977e-03	1.116446e+01
4.174867605016719e-03	1.117240e+01
4.175286842780884e-03	1.118199e+01
4.175774633166194e-03	1.119295e+01
4.176418853038886e-03	1.120720e+01
4.176524860586630e-03	1.120951e+01
4.176736875682117e-03	1.121408e+01
4.176930598777657e-03	1.121823e+01
4.177083310973885e-03	1.122148e+01
4.177250955723680e-03	1.122502e+01
4.177410277359834e-03	1.122837e+01
4.177485505289139e-03	1.122995e+01
4.177541207419634e-03	1.123111e+01
4.177541579035540e-03	1.123111e+01
4.177542322267352e-03	1.123113e+01
4.177543808730975e-03	1.123116e+01
4.177545244257111e-03	1.123119e+01
4.177546196058360e-03	1.123121e+01
4.177546513602612e-03	1.123122e+01
4.177546777532504e-03	1.123122e+01
4.177546962968898e-03	1.123123e+01
4.177547175108549e-03	1.123123e+01
4.177547520614333e-03	1.123124e+01
4.177547883861214e-03	1.123125e+01
4.177548610354975e-03	1.123126e+01
4.177549687727752e-03	1.123128e+01
4.177551842473305e-03	1.123133e+01
4.177556151964411e-03	1.123142e+01
4.177561432807198e-03	1.123153e+01
4.177567673714501e-03	1.123166e+01
4.177575496923764e-03	1.123182e+01
4.177591143342289e-03	1.123215e+01
4.177605682318455e-03	1.123245e+01
4.177631905880733e-03	1.123299e+01
4.177635646887070e-03	1.123307e+01
4.177643674843265e-03	1.123324e+01
4.177644766730309e-03	1.123326e+01
4.177646950504396e-03	1.123330e+01
4.177647018747336e-03	1.123330e+01
4.177647155233217e-03	1.123331e+01
4.177647234849491e-03	1.123331e+01
4.177647237216776e-03	1.123331e+01
4.177647241951347e-03	1.123331e+01
4.177647251420490e-03	1.123331e+01
4.177647261305431e-03	1.123331e+01
4.177647281075313e-03	1.123331e+01
4.177647318268293e-03	1.123331e+01
4.177647392654254e-03	1.123331e+01
4.177647541426177e-03	1.123332e+01
4.177647838970022e-03	1.123332e+01
4.177648434057713e-03	1.123333e+01
4.177649624233095e-03	1.123336e+01
4.177652004583858e-03	1.123341e+01
4.177656765285385e-03	1.123351e+01
4.177662615173471e-03	1.123363e+01
4.177670196727371e-03	1.123379e+01
4.177680257975220e-03	1.123399e+01
4.177700380470916e-03	1.123441e+01
4.177720054780548e-03	1.123482e+01
4.177746986805784e-03	1.123537e+01
4.177776428952187e-03	1.123598e+01
4.177826572455016e-03	1.123701e+01
4.177896030362119e-03	1.123844e+01
4.178034946176325e-03	1.124128e+01
4.178312777804736e-03	1.124690e+01
4.178649612560415e-03	1.125364e+01
